state,year,total,D,R,R_pv2p,D_pv2p,margin_pct,margin_pct_lag,swing,party,winner,candidate,pv,pv2p,incumbent,incumbent_party,prev_admin,margin_pct_nat,margin_pct_lag_nat,swing_nat,unemployment_nat_a,RDI_growth_a,inflation_a,stock_a,GDP_growth_a,term.x,unemployment_nat_t,RDI_growth_t,inflation_t,stock_t,GDP_growth_t,unemployment_loc_a,lfpr_loc_a,term.y,unemployment_loc_t,lfpr_loc_t
Alabama,1976,1182850,659170,504070,43.33327602214504,56.66672397785496,-6.666723977854957,NA,NA,republican,FALSE,"Ford, Gerald",47.63511371,48.86265082555036,TRUE,TRUE,TRUE,-1.1373491744496391,11.78900883147498,-12.92635800592462,7.7,0.007970084722630813,56.93333333333332,102.79083316666674,1.0640058056245374,6,6.66875,0.00469414917043684,51.125,94.4777085208333,0.5526784785296639,6.766666666666667,57.03333333333333,6,6.766666666666667,57.03333333333333
Alabama,1980,1341929,636730,654192,50.67633830703947,49.323661692960535,0.6763383070394724,-6.666723977854957,7.34306228489443,republican,TRUE,"Reagan, Ronald",50.45575474,55.157558768126435,FALSE,FALSE,FALSE,5.157558768126435,-1.1373491744496391,6.294907942576074,7.175,0.00491764655008681,82.38333333333333,119.57833291666651,2.876509205468336e-5,7,6.535416666666667,0.00665279504411072,70.20625,103.96166662500003,0.7965632427413756,8.883333333333333,59.00833333333333,7,7.422916666666667,58.93958333333333
Alabama,1984,1441713,551899,872849,61.26339535131827,38.736604648681734,11.263395351318273,0.6763383070394724,10.5870570442788,republican,TRUE,"Reagan, Ronald",58.46086046,59.12335119072585,TRUE,TRUE,FALSE,9.123351190725849,5.157558768126435,3.9657924225994137,7.508333333333333,0.014487213283155678,103.93333333333325,160.31500000000025,1.366871854933382,8,8.608333333333334,0.009401425130037496,97.74583333333331,142.28937483333343,0.8145548001034859,11,60.858333333333334,8,12.3625,59.791666666666664
Alabama,1988,1378476,549506,815576,59.74556839808891,40.254431601911094,9.745568398088913,11.263395351318273,-1.5178269532293598,republican,TRUE,"Bush, George H.W.",53.11095783,53.832455289994016,FALSE,TRUE,TRUE,3.832455289994016,9.123351190725849,-5.290895900731833,5.491666666666668,0.011017512456693718,118.275,268.0508346666665,0.9372295473986025,9,6.464583333333334,0.008341112095608698,112.29583333333338,245.48250008333332,0.9472254132584095,7.191666666666666,61.40833333333333,9,8.525,61.43125
Alabama,1992,1688060,690080,804283,53.82112645990298,46.178873540097015,3.8211264599029775,9.745568398088913,-5.924441938185936,republican,FALSE,"Bush, George H.W.",37.09272907,46.37930416161966,TRUE,TRUE,TRUE,-3.6206958383803425,3.832455289994016,-7.453151128374358,7.491666666666667,0.009805129294970717,140.30833333333325,417.1158345,1.0782104055655632,10,6.304166666666666,0.005670335796065384,132.76875,364.41103997916673,0.550509567532052,7.566666666666666,62.358333333333334,10,7.1875,61.958333333333336
Alabama,1996,1534349,662165,769044,53.73387115368894,46.266128846311055,3.7338711536889377,3.8211264599029775,-0.08725530621403976,republican,FALSE,"Dole, Robert",40.46454056,45.195975972134136,FALSE,FALSE,FALSE,-4.804024027865864,-3.6206958383803425,-1.1833281894855219,5.408333333333332,0.008014836598934642,156.85833333333352,674.8475037499998,1.0880419028309358,11,6.002083333333334,0.006873739183753996,150.48541666666682,533.9604180833333,0.8235945634696913,5.225,63.50833333333333,11,6.183333333333334,63.135416666666664
Alabama,2000,1666272,692611,941173,57.60694192133109,42.39305807866891,7.606941921331092,3.7338711536889377,3.8730707676421545,republican,TRUE,"Bush, George W.",47.64605998,49.740476550733355,FALSE,FALSE,FALSE,-0.25952344926664495,-4.804024027865864,4.544500578599219,3.966666666666665,0.01134795814557037,172.1916666666665,1419.7283325833325,0.7373424245146608,12,4.406249999999999,0.011012640062477961,165.57708333333326,1178.507918062499,1.0553259458781363,4.575,63.141666666666666,12,4.66875,63.795833333333334
Alabama,2004,1883415,693933,1176394,62.89777135228225,37.10222864771775,12.897771352282248,7.606941921331092,5.290829430951156,republican,TRUE,"Bush, George W.",50.5704856,51.26931595891532,TRUE,TRUE,FALSE,1.2693159589153211,-0.25952344926664495,1.528839408181966,5.541666666666665,0.00880294553693157,188.9083333333335,1133.964986166665,0.8107064589568925,13,5.514583333333332,0.007588175360730238,182.45416666666668,1069.0583228750002,0.6087863131990616,5.7,62.03333333333333,13,5.68125,62.05625
Alabama,2008,2099819,813479,1266546,60.890902753572675,39.109097246427325,10.890902753572675,12.897771352282248,-2.0068685987095733,republican,FALSE,"McCain, John",45.3615689,46.22923272061515,FALSE,TRUE,FALSE,-3.770767279384849,1.2693159589153211,-5.04008323830017,5.8,0.00219968299551063,215.25425000000024,1215.2216593333358,-0.6908698953173065,14,5.027083333333334,0.004541164975422367,204.8558541666668,1304.8491592500002,0.3036128671172489,5.716666666666667,60.625,14,4.564583333333333,61.25833333333333
Alabama,2012,2074338,795696,1255925,61.216228533437715,38.78377146656229,11.216228533437715,10.890902753572675,0.3253257798650395,republican,FALSE,"Romney, Mitt",47.12112967,48.08474196042121,FALSE,FALSE,FALSE,-1.915258039578788,-3.770767279384849,1.8555092398060609,8.075,0.0120888959971867,229.58608333333325,1386.5050048333326,0.36550393302059975,15,8.975,0.005845606769157154,221.78747916666663,1186.6149966041678,0.36311164967474124,7.983333333333333,58.150000000000006,15,9.783333333333333,59.13333333333333
